,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_charts
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,263
1,LALA,Myke Towers,1,2023,3,23,1474,48,133716286,126
2,vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,207
3,Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,207
4,WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,133
5,Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,213
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,222
7,Columbia,Quevedo,1,2023,7,7,714,43,58149378,89
8,fukumean,Gunna,1,2023,5,15,1096,83,95217315,210
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,110
10,un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,205
11,Super Shy,NewJeans,1,2023,7,7,422,55,58255150,202
13,Daylight,David Kushner,1,2023,4,14,3528,98,387570742,156
15,Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,162
16,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,212
18,Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,100
19,Like Crazy,Jimin,1,2023,3,24,596,68,363369738,104
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,163
21,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,119
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,152
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,182
25,SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,149
26,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,119
27,MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,109
28,Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,107
29,Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0
30,Rush,Troye Sivan,1,2023,7,13,864,78,22581161,135
31,TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,185
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,149
33,Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,142
34,TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,123
36,Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,108
37,Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,123
38,Style,Taylor Swift,1,2014,1,1,7830,42,786181836,111
39,TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,159
40,El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,107
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,117
42,I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,184
43,See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,58
45,Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,48
47,Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,21
48,Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,137
49,Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,86
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,64
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,111
52,AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,71
53,(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0
56,Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,79
57,La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,111
60,Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,17
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,84
62,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,0
63,BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,121
64,Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,79
65,Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,2
66,Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,55
67,People,Libianca,1,2022,12,2,3506,56,373199958,64
68,Overdrive,Post Malone,1,2023,7,14,410,36,14780425,32
69,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,93
70,BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,80
72,golden hour,JVKE,1,2022,7,15,4511,36,751134527,58
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,65
75,Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,0
76,Here With Me,d4vd,1,2022,7,17,3246,23,635412045,85
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,108
78,Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,74
79,CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,16
80,Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,65
81,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,96
82,Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,6
83,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,72
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,99
85,El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,75
87,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,120
88,Makeba,Jain,1,2015,6,22,6060,53,165484133,148
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,52
